        53,     13000,  3411, -7979,  4562, -5929,  6371,  -444,0
        54,     13250,  3995, -8121,  4119, -6340,  6219,   119,0
        55,     13500,  4572, -8215,  3636, -6721,  6013,   706,0
        56,     13750,  5138, -8259,  3114, -7068,  5761,  1305,0
        57,     14000,  5688, -8252,  2557, -7379,  5459,  1916,0
        58,     14250,  6218, -8192,  1967, -7648,  5107,  2539,0
        59,     14500,  6723, -8078,  1348, -7874,  4710,  3160,0
        60,     14750,  7200, -7910,   704, -8052,  4267,  3783,0
        61,     15000,  7643, -7687,    38, -8182,  3778,  4400,0
        62,     15250,  8049, -7409,  -646, -8259,  3251,  5004,0
        63,     15500,  8414, -7076, -1343, -8283,  2684,  5595,0
        64,     15750,  8734, -6690, -2049, -8251,  2081,  6166,0
        65,     16000,  9006, -6252, -2759, -8163,  1448,  6711,0
        66,     16250,  9227, -5764, -3468, -8018,   784,  7229,0
        67,     16500,  9393, -5227, -4171, -7815,    98,  7712,0
        68,     16750,  9503, -4645, -4863, -7553,  -609,  8157,0
        69,     17000,  9555, -4019, -5539, -7235, -1332,  8562,0
        70,     17250,  9545, -3354, -6194, -6860, -2064,  8919,0
        71,     17500,  9474, -2654, -6824, -6430, -2803,  9228,0
        72,     17750,  9341, -1921, -7422, -5946, -3543,  9484,0
        73,     18000,  9144, -1160, -7985, -5411, -4278,  9684,0
        74,     18250,  8884,  -377, -8508, -4827, -5003,  9825,0
        75,     18500,  8560,   425, -8986, -4197, -5714,  9906,0
        76,     18750,  8175,  1240, -9415, -3525, -6404,  9924,0
        77,     19000,  7729,  2063, -9792, -2814, -7069,  9878,0
        78,     19250,  7224,  2889,-10112, -2068, -7704,  9767,0
        79,     19500,  6662,  3711,-10372, -1292, -8303,  9590,0
        80,     19750,  6046,  4526,-10570,  -490, -8862,  9348,0
        81,     20000,  5379,  5326,-10703,   332, -9375,  9039,0
        82,     20250,  4664,  6107,-10768,  1170, -9839,  8665,0
        83,     20500,  3905,  6862,-10764,  2018,-10250,  8228,0
        84,     20750,  3107,  7586,-10690,  2871,-10603,  7729,0
        85,     21000,  2274,  8275,-10544,  3722,-10895,  7170,0
        86,     21250,  1410,  8921,-10327,  4567,-11123,  6554,0
        87,     21500,   522,  9522,-10039,  5399,-11285,  5883,0
        88,     21750,  -386, 10071, -9680,  6212,-11377,  5163,0
        89,     22000, -1308, 10564, -9251,  7001,-11398,  4395,0
        90,     22250, -2237, 10997, -8754,  7760,-11347,  3585,0
        91,     22500, -3169, 11366, -8192,  8483,-11222,  2737,0
        92,     22750, -4096, 11668, -7566,  9165,-11023,  1857,0
        93,     23000, -5013, 11899, -6880,  9801,-10750,   949,0
        94,     23250, -5914, 12057, -6137, 10385,-10404,    19,0
        95,     23500, -6791, 12140, -5342, 10913, -9985,  -927,0
